latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.328,-91.236,311.8,1.1,1.1,2016-11-27,0425,T,83,6.0NRT,274.3,18.3,N
35.019,-83.468,300.5,2,1.4,2016-11-27,0700,A,29,6.0NRT,276.7,22.5,N
19.397,-155.282,308.5,3.9,1.8,2016-11-27,0915,T,61,6.0NRT,283,85.2,N
19.413,-155.283,324,3.9,1.8,2016-11-27,0915,T,100,6.0NRT,280.3,178.4,N
19.403,-155.289,320,3.9,1.8,2016-11-27,0915,T,99,6.0NRT,282.2,148.5,N
19.514,-103.611,314.7,1.1,1,2016-11-27,0845,A,90,6.0NRT,280,17.8,N
19.505,-103.612,304.1,1.1,1,2016-11-27,0845,A,58,6.0NRT,283.3,10.1,N
19.398,-155.096,300.8,1,1,2016-11-27,1205,A,26,6.0NRT,284.2,5.6,N
19.396,-155.086,321.3,1,1,2016-11-27,1205,A,100,6.0NRT,286.8,21.1,N
19.39,-155.106,304.3,1,1,2016-11-27,1205,A,60,6.0NRT,287.5,7.8,N
19.406,-155.278,306.9,1,1,2016-11-27,1205,A,70,6.0NRT,283.1,10.4,N
33.018,-79.885,301.8,1.5,1.2,2016-11-27,1630,T,43,6.0NRT,286.9,10.1,D
32.195,-81.327,302,1.3,1.1,2016-11-27,1630,T,50,6.0NRT,289.9,6.9,D
30.95,-85.136,311.9,1,1,2016-11-27,1630,T,72,6.0NRT,295,8.5,D
31.147,-87.989,300.9,1.2,1.1,2016-11-27,1630,T,40,6.0NRT,287.9,5.9,D
30.947,-88.01,308,1.2,1.1,2016-11-27,1630,T,66,6.0NRT,282.3,11.5,D
30.937,-88.012,300.4,1.2,1.1,2016-11-27,1630,T,23,6.0NRT,282.1,5.7,D
30.328,-91.239,310.1,1.7,1.3,2016-11-27,1630,T,53,6.0NRT,283.9,21.6,D
30.057,-92.177,317.6,2,1.4,2016-11-27,1630,T,78,6.0NRT,283.2,43.1,D
30.055,-92.156,313.6,2,1.4,2016-11-27,1630,T,74,6.0NRT,280.6,33.9,D
26.595,-80.463,310.5,1.8,1.3,2016-11-27,1630,T,52,6.0NRT,300.2,13,D
22.697,-82.41,311.1,1.6,1.2,2016-11-27,1630,T,48,6.0NRT,290.1,12.3,D
22.73,-82.744,305.6,1.5,1.2,2016-11-27,1630,T,30,6.0NRT,290.7,7.1,D
21.82,-79.125,312.1,2.8,1.6,2016-11-27,1630,T,68,6.0NRT,293.8,30.4,D
21.814,-79.098,325.4,2.9,1.6,2016-11-27,1630,T,82,6.0NRT,293.9,88,D
21.8,-79.101,308.1,2.9,1.6,2016-11-27,1630,T,51,6.0NRT,293.1,17.4,D
21.731,-79.067,308.6,2.9,1.6,2016-11-27,1630,T,61,6.0NRT,292.6,20.3,D
21.725,-79.04,313.5,2.9,1.6,2016-11-27,1630,T,70,6.0NRT,293.3,38.2,D
19.291,-92.169,323.4,1.4,1.2,2016-11-27,1630,T,76,6.0NRT,291,30.6,D
42.994,-81.633,312,1,1,2016-11-27,1625,T,72,6.0NRT,279.5,14.1,D
41.454,-81.678,300.2,1,1,2016-11-27,1625,T,31,6.0NRT,283.4,5.7,D
41.567,-84.046,300.1,1.1,1,2016-11-27,1625,T,29,6.0NRT,279.7,7.5,D
36.259,-84.286,311.2,1,1,2016-11-27,1625,T,71,6.0NRT,284.1,12.4,D
35.632,-83.478,329.8,1,1,2016-11-27,1625,T,86,6.0NRT,282.7,32.2,D
35.63,-83.468,300.7,1,1,2016-11-27,1625,T,41,6.0NRT,280.2,7.2,D
35.086,-82.705,314.6,1,1,2016-11-27,1625,T,72,6.0NRT,284,15.5,D
35.191,-83.556,303.9,1,1,2016-11-27,1625,T,0,6.0NRT,280.1,8.3,D
35.165,-83.569,316.7,1,1,2016-11-27,1625,T,73,6.0NRT,284.5,17.7,D
21.817,-79.121,312.7,3.1,1.7,2016-11-27,1800,A,55,6.0NRT,294.7,39.4,D
21.816,-79.125,313.6,3.1,1.7,2016-11-27,1800,A,59,6.0NRT,294.5,41.1,D
26.745,-80.418,329.9,3,1.6,2016-11-27,1800,A,83,6.0NRT,297,123.2,D
26.738,-80.447,313.2,3,1.7,2016-11-27,1800,A,57,6.0NRT,295.9,38.5,D
26.745,-80.422,333.7,3,1.6,2016-11-27,1800,A,86,6.0NRT,297.1,147.5,D
26.89,-101.457,309.7,3.2,1.7,2016-11-27,1810,T,58,6.0NRT,294.4,28.1,D
26.886,-101.431,307.1,3.2,1.7,2016-11-27,1810,T,54,6.0NRT,293.3,24.4,D
20.306,-101.502,309.8,4.6,2,2016-11-27,1810,T,50,6.0NRT,296.1,38.2,D
33.418,-110.86,336,1,1,2016-11-27,1805,T,90,6.0NRT,288.4,39.8,D
37.236,-78.665,311.2,1.4,1.2,2016-11-27,1805,A,71,6.0NRT,285.6,19.2,D
37.393,-120.66,310.4,3.9,1.8,2016-11-27,1945,T,70,6.0NRT,284.5,80.5,D
37.403,-120.661,314.3,3.9,1.8,2016-11-27,1945,T,70,6.0NRT,284.8,102.4,D
18.469,-95.433,310.3,1,1,2016-11-27,1940,A,62,6.0NRT,295.5,5.6,D
19.288,-92.171,313.2,1.1,1.1,2016-11-27,1940,A,57,6.0NRT,292.8,10.6,D
19.388,-92.041,321.3,1.1,1.1,2016-11-27,1940,A,74,6.0NRT,292.4,19.3,D
19.437,-92.038,312.3,1.1,1.1,2016-11-27,1940,A,53,6.0NRT,293.1,10.2,D
19.441,-92.082,310.4,1.1,1.1,2016-11-27,1940,A,37,6.0NRT,293.6,8.2,D
19.439,-92.092,314.3,1.1,1.1,2016-11-27,1940,A,61,6.0NRT,293.8,11.8,D
19.565,-92.241,330.7,1.1,1.1,2016-11-27,1940,A,83,6.0NRT,294.3,31.6,D
19.289,-99.552,311,1.7,1.3,2016-11-27,1940,A,58,6.0NRT,299,10.4,D
20.771,-98.082,311.3,1.3,1.1,2016-11-27,1940,A,56,6.0NRT,295.5,9.7,D
20.235,-101.637,314,2.3,1.5,2016-11-27,1940,A,57,6.0NRT,300,20.4,D
20.232,-101.643,312.6,2.3,1.5,2016-11-27,1940,A,49,6.0NRT,300.7,15.3,D
