,MarketName,Website,city,x,y,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
0,"""Y Not Wednesday Farmers Market at Town Center""",http://www.sandlercenter.org/index/ynotwednesdays,Virginia Beach,-76.135361,36.841885,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y
1,10:10 Farmers Market,http://www.1010farmersmarket.com,Douglasville,-84.7689,33.7196,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
2,100-Mile Market,http://www.peoplesfoodco-op.org/,Kalamazoo,-85.57502,42.29596,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N
3,112st Madison Avenue,,New York,-73.9493,40.7939,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N
4,12th & Brandywine Urban Farm Market,,Wilmington,-75.534417,39.7421,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
5,14&U Farmers' Market,,Washington,-77.03205,38.916998,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N
6,17 on the Square,,Gettysburg,-77.2316,39.8313,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,175th Street Greenmarket,http://www.grownyc.org,New York,-73.9385,40.8462,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
8,17th Ave Market,http://www.iatp.org/minimarkets,Minneapolis,-93.2591,45.0044,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
9,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,Richmond,-77.4886,37.5583,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,19th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,Highlands,-73.994358,40.404837,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N
11,2012 Wood County Farmers' Market,,Wisconsin Rapids,-89.83105,44.394902,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
12,22nd and Tasker Farmers' Market,http://www.foodtrustmarkets.org/markets.html,Philadelphia,-75.18142,39.93216,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
