latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.279,-66.014,299.9,0.6,0.7,2016-06-21,0515,N,nominal,1.0NRT,284.9,0,N
35.713,-78.838,303.6,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.9,0,N
35.722,-79.504,302.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,289.7,0,N
35.719,-79.505,300.5,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,289,0,N
35.506,-80.332,309.7,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.4,0,N
34.964,-79.216,301.7,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.2,0,N
35.794,-91.75,307.1,0.6,0.7,2016-06-21,0700,N,nominal,1.0NRT,286.5,0,N
35.794,-91.749,309.2,0.6,0.7,2016-06-21,0700,N,nominal,1.0NRT,286.9,0,N
34.375,-79.889,304.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,291.7,0,N
35.11,-87.797,308,0.3,0.6,2016-06-21,0700,N,nominal,1.0NRT,285.8,0,N
34.944,-85.701,298.1,0.5,0.5,2016-06-21,0700,N,nominal,1.0NRT,281.8,0,N
35.095,-87.81,301.2,0.3,0.6,2016-06-21,0700,N,nominal,1.0NRT,286.9,0,N
34.152,-79.562,310,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,291.9,0,N
34.804,-88.327,302.9,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,288.7,0,N
34.64,-87.082,324.5,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,287.7,0,N
34.641,-87.088,311,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,289,0,N
34.24,-84.797,302.6,0.4,0.5,2016-06-21,0700,N,nominal,1.0NRT,289.2,0,N
34.129,-84.032,301.9,0.4,0.5,2016-06-21,0700,N,nominal,1.0NRT,286,0,N
33.17,-80.14,313.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.1,0,N
33.895,-87.075,326.1,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,289.8,0,N
33.247,-81.487,302.6,0.5,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.1,0,N
33.09,-80.344,303.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.4,0,N
33.016,-79.887,329.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.5,0,N
33.015,-79.883,319.8,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,294.4,0,N
33.012,-79.888,310.3,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.6,0,N
33.012,-79.884,315.9,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.4,0,N
33.735,-86.154,301.3,0.5,0.5,2016-06-21,0700,N,nominal,1.0NRT,290.5,0,N
33.008,-79.884,306.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,293.6,0,N
33.004,-79.877,304.1,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,293,0,N
33.537,-86.76,303.1,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,291.1,0,N
33.532,-86.76,309.3,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,290.6,0,N
33.448,-88.578,307.6,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.3,0,N
33.442,-88.571,329.6,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.8,0,N
33.442,-88.579,308.4,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,292,0,N
33.249,-86.822,300.6,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,289.9,0,N
33.224,-86.812,300.1,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,289.8,0,N
33.217,-86.788,309.5,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,290.1,0,N
33.235,-87.511,302.8,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.6,0,N
33.235,-87.511,302.6,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.9,0,N
33.102,-86.803,305.8,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,290.9,0,N
33.093,-86.804,312.4,0.6,0.5,2016-06-21,0700,N,nominal,1.0NRT,290.3,0,N
32,-84.179,304.9,0.4,0.5,2016-06-21,0700,N,nominal,1.0NRT,292.5,0,N
31.313,-82.142,307.7,0.5,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.5,0,N
30.853,-81.909,300.2,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,289.4,0,N
31.351,-88.497,305.7,0.3,0.6,2016-06-21,0700,N,nominal,1.0NRT,289.1,0,N
31.15,-87.988,327,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.8,0,N
31.15,-87.987,327.8,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,292.3,0,N
30.791,-84.437,300.9,0.4,0.5,2016-06-21,0700,N,nominal,1.0NRT,290.4,0,N
30.727,-84.021,304.4,0.6,0.4,2016-06-21,0700,N,nominal,1.0NRT,291.1,0,N
30.94,-88.013,328.4,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,292,0,N
30.941,-88.012,327.5,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,292.2,0,N
30.803,-90.132,311.7,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,289.1,0,N
30.801,-90.133,309.8,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,288.8,0,N
30.068,-83.524,303.1,0.5,0.4,2016-06-21,0700,N,nominal,1.0NRT,293,0,N
30.342,-88.489,312.4,0.3,0.6,2016-06-21,0700,N,nominal,1.0NRT,294.7,0,N
30.342,-88.485,308.7,0.3,0.6,2016-06-21,0700,N,nominal,1.0NRT,294.4,0,N
30.337,-88.493,305,0.3,0.6,2016-06-21,0700,N,nominal,1.0NRT,293.1,0,N
29.707,-83.02,306.8,0.5,0.4,2016-06-21,0700,N,nominal,1.0NRT,291.1,0,N
30.329,-91.244,302.2,0.5,0.7,2016-06-21,0700,N,nominal,1.0NRT,288,0,N
30.328,-91.243,303.1,0.5,0.7,2016-06-21,0700,N,nominal,1.0NRT,288.2,0,N
30.321,-91.238,301.8,0.5,0.7,2016-06-21,0700,N,nominal,1.0NRT,288.1,0,N
30.108,-90.9,304.3,0.5,0.7,2016-06-21,0700,N,nominal,1.0NRT,289.7,0,N
30.065,-90.601,302.6,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,290.4,0,N
29.022,-81.343,300.8,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,289.8,0,N
29.049,-82.217,302.8,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.4,0,N
29.049,-82.213,311,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.6,0,N
29.049,-82.215,310.8,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.5,0,N
29.049,-82.21,304.4,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,289.8,0,N
30.017,-94.036,311.9,0.7,0.8,2016-06-21,0700,N,nominal,1.0NRT,285.5,0,N
29.683,-89.978,306,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.8,0,N
29.685,-91.478,302.2,0.5,0.7,2016-06-21,0700,N,nominal,1.0NRT,288.8,0,N
29.744,-95.003,303.7,0.8,0.8,2016-06-21,0700,N,nominal,1.0NRT,284.5,0,N
26.695,-81.787,311.5,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,293.8,0,N
26.288,-80.166,304.4,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.5,0,N
25.859,-80.346,308.2,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,292.9,0,N
23.137,-82.324,331.2,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.9,0,N
23.137,-82.32,313.7,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.8,0,N
23.134,-82.324,330.4,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290,0,N
23.133,-82.32,323.5,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.3,0,N
22.666,-80.389,306.7,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,287,0,N
22.632,-80.663,301.5,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,289.1,0,N
22.401,-81.154,344.4,0.4,0.4,2016-06-21,0700,N,nominal,1.0NRT,290.5,0,N
20.945,-89.663,314.1,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.8,0,N
20.944,-89.664,312.4,0.6,0.6,2016-06-21,0700,N,nominal,1.0NRT,291.7,0,N
19.57,-92.241,308.8,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,254.1,0,N
19.564,-92.242,305.7,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,255.1,0,N
19.524,-92.191,325.2,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,284.4,0,N
19.444,-92.041,298.4,0.4,0.6,2016-06-21,0700,N,nominal,1.0NRT,274.1,0,N
19.294,-92.176,348.2,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,267.5,0,N
19.295,-92.18,300.6,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,270.4,0,N
19.294,-92.171,303.2,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,263,0,N
19.298,-92.176,298.1,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,268.9,0,N
19.293,-92.176,367,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,266.7,0,N
19.293,-92.181,296.3,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,269.3,0,N
19.292,-92.172,318.4,0.4,0.6,2016-06-21,0705,N,nominal,1.0NRT,264.9,0,N
45.279,-66.011,300.5,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,286.4,0,N
46.372,-72.39,299.4,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,280.9,0,N
46.045,-73.141,302.6,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,270.3,0,N
45.782,-73.914,297.4,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,286,0,N
45.774,-73.902,302,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.5,0,N
46.535,-80.357,334.5,0.6,0.4,2016-06-21,0655,N,nominal,1.0NRT,284.7,0,N
46.531,-80.358,327.6,0.6,0.4,2016-06-21,0655,N,nominal,1.0NRT,281.7,0,N
46.538,-80.355,325.8,0.6,0.4,2016-06-21,0655,N,nominal,1.0NRT,282.7,0,N
46.534,-80.356,341.7,0.6,0.4,2016-06-21,0655,N,nominal,1.0NRT,283.8,0,N
45.642,-73.52,301,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,283.1,0,N
46.49,-81.035,333.3,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,285.6,0,N
46.49,-81.03,337.3,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,286.1,0,N
46.486,-81.036,298,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,283.1,0,N
46.486,-81.031,311,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,283.3,0,N
46.487,-81.032,338.8,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,293.5,0,N
46.481,-81.049,301.8,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,284,0,N
45.609,-74.249,298.3,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.9,0,N
46.729,-92.081,304.3,0.7,0.8,2016-06-21,0655,N,nominal,1.0NRT,283.9,0,N
46.525,-84.373,306.2,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,284.1,0,N
46.52,-84.373,296,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,282.9,0,N
46.516,-84.397,319.4,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,282.5,0,N
46.526,-84.371,299.8,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,283.2,0,N
46.521,-84.379,301.7,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,283.1,0,N
46.518,-84.395,314.3,0.6,0.5,2016-06-21,0655,N,nominal,1.0NRT,282.2,0,N
46.73,-92.077,302.8,0.7,0.8,2016-06-21,0655,N,nominal,1.0NRT,284.1,0,N
45.499,-75.593,327.6,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.3,0,N
46.106,-81.567,305.3,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,288.5,0,N
46.106,-81.561,311.5,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
46.106,-81.568,303.3,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,288.1,0,N
46.105,-81.562,313.8,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,289.3,0,N
45.237,-75.765,299.3,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.2,0,N
45.972,-85.877,296.5,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,282.2,0,N
45.976,-85.878,295.4,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,282.4,0,N
45.319,-85.299,297.2,0.6,0.6,2016-06-21,0655,N,nominal,1.0NRT,287,0,N
44.168,-76.804,303.7,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.9,0,N
44.767,-93.045,298.1,0.7,0.8,2016-06-21,0655,N,nominal,1.0NRT,287.4,0,N
43.493,-79.626,305.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.3,0,N
43.268,-78.431,300.6,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.5,0,N
43.083,-77.381,299.7,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.1,0,N
42.922,-76.833,307.3,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.4,0,N
43.275,-79.798,329.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,288,0,N
43.276,-79.804,299.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.4,0,N
43.292,-79.989,296.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.7,0,N
43.272,-79.805,308.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.3,0,N
43.272,-79.799,297.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,285.6,0,N
43.269,-79.806,307.2,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.4,0,N
43.265,-79.807,300.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
43.268,-79.806,305.4,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
43.264,-79.807,303,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.7,0,N
43.07,-80.862,300.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.2,0,N
43.07,-80.855,298.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,285.2,0,N
42.811,-80.103,301.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,285.9,0,N
