latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-5.619,145.283,310.2,3.1,1.7,2015-08-05, 0010,T,30,5.0,294.1,42.9
-6.325,145.221,315.1,3,1.7,2015-08-05, 0010,T,62,5.0,293.8,71.5
-6.325,145.216,316,3,1.7,2015-08-05, 0010,T,65,5.0,293.5,75.5
-9.635,149.617,319,1.3,1.1,2015-08-05, 0010,T,67,5.0,301.8,19.1
-9.714,149.47,320,1.3,1.1,2015-08-05, 0010,T,72,5.0,300,22.1
-15.907,144.336,310.2,2.3,1.5,2015-08-05, 0015,T,33,5.0,298.4,22.6
-19.301,146.429,318.3,1.4,1.2,2015-08-05, 0015,T,69,5.0,292.8,34.6
-19.304,146.442,324.3,1.4,1.2,2015-08-05, 0015,T,77,5.0,293.4,46.7
-20.1,148.219,318.8,1.1,1,2015-08-05, 0015,T,70,5.0,301.7,16.5
-21.55,148.991,313.6,1,1,2015-08-05, 0015,T,59,5.0,299.2,13.8
-22.151,149.489,324.5,1,1,2015-08-05, 0015,T,78,5.0,297.7,24.7
-22.152,149.499,313.4,1,1,2015-08-05, 0015,T,39,5.0,297.1,11.8
-22.687,150.259,321.3,1,1,2015-08-05, 0015,T,69,5.0,294.4,21.1
-22.696,150.257,317.2,1,1,2015-08-05, 0015,T,49,5.0,296.6,15.2
-22.698,150.267,349.2,1,1,2015-08-05, 0015,T,95,5.0,298.3,68.5
-23.504,151.038,311.4,1.1,1,2015-08-05, 0015,T,36,5.0,294,12.7
-23.512,151.027,315.8,1.1,1,2015-08-05, 0015,T,48,5.0,293.1,17.2
-23.151,148.022,314.4,1.1,1,2015-08-05, 0015,T,61,5.0,296.9,12.9
-23.153,148.032,312.7,1.1,1,2015-08-05, 0015,T,55,5.0,297.8,10.8
-24.702,151.838,327.1,1.2,1.1,2015-08-05, 0015,T,80,5.0,296.3,38.7
-27.548,152.417,315.4,1.3,1.1,2015-08-05, 0015,T,64,5.0,290,28.7
-27.332,149.641,322.4,1,1,2015-08-05, 0015,T,75,5.0,290.9,24.1
-27.333,149.651,314.7,1,1,2015-08-05, 0015,T,43,5.0,290.4,14.9
-27.341,149.639,316.4,1,1,2015-08-05, 0015,T,37,5.0,290.9,16.7
-28.877,149.068,326.1,1,1,2015-08-05, 0015,T,79,5.0,290.3,32.7
-32.361,147.716,310.5,1,1,2015-08-05, 0020,T,29,5.0,287,14.8
-32.37,147.715,323.2,1,1,2015-08-05, 0020,T,76,5.0,286.1,29.9
-17.382,-40.733,307.3,2.3,1.5,2015-08-05, 0055,T,53,5.0,288.9,42.3
-17.369,-40.734,305.6,2.3,1.5,2015-08-05, 0055,T,33,5.0,288.8,36.6
-5.107,-39.117,308.4,1.2,1.1,2015-08-05, 0055,T,61,5.0,295.6,12
-5.108,-39.127,309.2,1.2,1.1,2015-08-05, 0055,T,65,5.0,295.4,13
-3.462,15.216,348.8,1.1,1,2015-08-05, 0035,A,100,5.0,290.2,82.2
-3.464,15.226,308.8,1.1,1,2015-08-05, 0035,A,63,5.0,288.1,15.6
-4.468,16.514,319.9,1.3,1.1,2015-08-05, 0035,A,99,5.0,287.6,38
-4.478,16.513,311.5,1.3,1.1,2015-08-05, 0035,A,75,5.0,287.8,24.5
-5.057,18.252,308.4,1.7,1.3,2015-08-05, 0035,A,60,5.0,289,31.7
27.988,22.32,311.8,1.1,1,2015-08-05, 0030,A,76,5.0,297.4,15.3
27.986,22.33,322,1.1,1,2015-08-05, 0030,A,100,5.0,298.2,27.9
27.645,22.504,308.5,1.1,1,2015-08-05, 0030,A,61,5.0,297.8,12.1
27.588,22.408,311.1,1.1,1,2015-08-05, 0030,A,74,5.0,297.4,14.9
51.777,25.084,305.3,1.1,1.1,2015-08-05, 0020,A,19,5.0,286.8,14.6
51.447,26.754,314.6,1,1,2015-08-05, 0020,A,86,5.0,284.8,23.5
51.35,26.442,308.6,1,1,2015-08-05, 0020,A,62,5.0,281.6,17.2
51.348,26.456,310.5,1,1,2015-08-05, 0020,A,71,5.0,282,19.5
51.343,26.424,311.4,1,1,2015-08-05, 0020,A,58,5.0,281.9,19.6
51.341,26.439,310.8,1,1,2015-08-05, 0020,A,72,5.0,282.1,19.5
49.697,28.491,310.9,1,1,2015-08-05, 0020,A,73,5.0,287,19.3
61.258,-160.484,318.4,2,1.4,2015-08-05, 0005,A,52,5.0,292,43
61.261,-160.492,318.2,2,1.4,2015-08-05, 0005,A,65,5.0,293.8,42.9
64.421,-155.301,314.9,3.3,1.7,2015-08-05, 0005,A,48,5.0,281.6,96.9
64.505,-157.294,310.6,2.8,1.6,2015-08-05, 0005,A,41,5.0,295.5,45.6
65.115,-156.398,334.3,3,1.7,2015-08-05, 0005,A,86,5.0,295.6,193.2
65.114,-156.462,319.6,3,1.7,2015-08-05, 0005,A,71,5.0,295.5,92.8
65.161,-156.334,314.2,3,1.7,2015-08-05, 0005,A,57,5.0,296.1,45.4
65.115,-156.408,331.6,3,1.7,2015-08-05, 0005,A,84,5.0,295.6,165.3
65.16,-156.345,316.4,3,1.7,2015-08-05, 0005,A,66,5.0,296.3,60.6
65.538,-155.714,311.8,3.2,1.7,2015-08-05, 0005,A,50,5.0,294.1,60.6
65.67,-157.644,317.3,2.8,1.6,2015-08-05, 0005,A,59,5.0,290.7,73.3
65.684,-157.645,315.3,2.8,1.6,2015-08-05, 0005,A,45,5.0,291.1,63.2
66.092,-154.259,319.9,3.6,1.8,2015-08-05, 0005,A,72,5.0,292.8,118.4
66.092,-154.346,320.7,3.6,1.8,2015-08-05, 0005,A,73,5.0,293.4,123.7
66.139,-154.658,311.2,3.5,1.8,2015-08-05, 0005,A,35,5.0,297.6,36.9
66.098,-154.263,321.9,3.6,1.8,2015-08-05, 0005,A,67,5.0,292.6,120.5
66.098,-154.35,320.7,3.6,1.8,2015-08-05, 0005,A,56,5.0,294.5,111
-7.616,16.634,307.5,1.5,1.2,2015-08-05, 0040,A,54,5.0,289.9,22.9
-7.618,16.647,329.8,1.5,1.2,2015-08-05, 0040,A,100,5.0,290.7,68.2
-7.629,16.646,317.7,1.5,1.2,2015-08-05, 0040,A,94,5.0,290.5,40.3
-8.017,16.8,305.7,1.5,1.2,2015-08-05, 0040,A,35,5.0,288.2,23.2
